region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,InTransit,Transfer,NVC
AF,1,2015AF1,None,At NVC,None,None,0,0,0,0,0,0,1
AF,2,2015AF2,None,At NVC,None,None,0,0,0,0,0,0,1
AF,4,2015AF4,ADD,Issued,31-Oct-2013,05-Feb-2015,1,0,0,0,0,0,0
AF,5,2015AF5,ACC,Refused,27-Oct-2013,18-Jun-2015,0,0,0,1,0,0,0
AF,6,2015AF6,CRO,Issued,25-Oct-2013,12-Nov-2014,3,0,0,0,0,0,0
AF,7,2015AF7,ACC,Refused,27-Oct-2013,30-Jun-2015,0,0,0,1,0,0,0
AF,8,2015AF8,KIN,Issued,29-Oct-2013,06-Jan-2015,1,0,0,0,0,0,0
AF,10,2015AF10,ADD,Issued,09-Oct-2013,05-Feb-2015,1,0,0,0,0,0,0
AF,11,2015AF11,KIN,Administrative Processing,02-Nov-2013,03-Aug-2015,0,2,0,0,0,0,0
AF,12,2015AF12,MRV,Issued,04-Oct-2013,23-Mar-2015,2,0,0,0,0,0,0
AF,13,2015AF13,ACC,Issued,04-Oct-2013,24-Oct-2014,1,0,0,0,0,0,0
AF,15,2015AF15,ADD,Issued,16-Oct-2013,15-Dec-2014,1,0,0,0,0,0,0
AF,16,2015AF16,None,At NVC,None,None,0,0,0,0,0,0,1
AF,17,2015AF17,None,At NVC,None,None,0,0,0,0,0,0,1
AF,18,2015AF18,DKR,Administrative Processing,27-Oct-2013,21-Sep-2015,0,1,0,0,0,0,0
AF,19,2015AF19,None,At NVC,None,None,0,0,0,0,0,0,1
AF,20,2015AF20,None,At NVC,None,None,0,0,0,0,0,0,1
AF,22,2015AF22,ADD,Issued,01-Nov-2013,04-Jun-2015,1,0,0,0,0,0,0
AF,23,2015AF23,None,At NVC,None,None,0,0,0,0,0,0,1
AF,24,2015AF24,None,At NVC,None,None,0,0,0,0,0,0,1
AF,26,2015AF26,None,At NVC,None,None,0,0,0,0,0,0,1
AF,27,2015AF27,None,At NVC,None,None,0,0,0,0,0,0,1
AF,28,2015AF28,None,At NVC,None,None,0,0,0,0,0,0,1
AF,29,2015AF29,None,At NVC,None,None,0,0,0,0,0,0,1
AF,30,2015AF30,KIN,Administrative Processing,15-Oct-2013,18-Sep-2015,0,2,0,0,0,0,0
AF,31,2015AF31,None,At NVC,None,None,0,0,0,0,0,0,1
AF,32,2015AF32,MRV,Issued,29-Oct-2013,24-Jun-2015,2,0,0,0,0,0,0
AF,33,2015AF33,None,At NVC,None,None,0,0,0,0,0,0,1
AF,34,2015AF34,ADD,Issued,21-Oct-2013,11-May-2015,1,0,0,0,0,0,0
AF,35,2015AF35,None,At NVC,None,None,0,0,0,0,0,0,1
AF,36,2015AF36,MRV,Issued,31-Oct-2013,24-Mar-2015,2,0,0,0,0,0,0
AF,38,2015AF38,YDE,Refused,05-Oct-2013,22-Sep-2015,0,0,1,1,0,0,0
AF,39,2015AF39,None,At NVC,None,None,0,0,0,0,0,0,1
