region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;99;2018AF99;MRV;Ready;06-Nov-2016;21-Feb-2018;0;0;2;0;0;0;0
AF;118;2018AF118;MRV;Refused;19-Oct-2016;26-Apr-2018;0;0;0;1;0;0;0
AF;131;2018AF131;COT;Issued;21-Oct-2016;29-Jun-2018;3;0;0;0;0;0;0
AF;139;2018AF139;KIN;Ready;03-Nov-2016;20-Feb-2018;0;0;2;0;0;0;0
AF;157;2018AF157;FTN;Refused;30-Oct-2016;23-Apr-2018;0;0;0;1;0;0;0
AF;224;2018AF224;ACK;Ready;13-Oct-2016;03-Apr-2018;0;0;3;0;0;0;0
AF;339;2018AF339;ACC;Issued;07-Nov-2016;25-Apr-2018;4;0;0;0;0;0;0
AF;397;2018AF397;LOM;Refused;23-Oct-2016;05-Apr-2018;0;0;0;1;0;0;0
AF;448;2018AF448;MRV;Refused;07-Oct-2016;11-Apr-2018;0;0;0;3;0;0;0
AF;516;2018AF516;LOM;Issued;06-Nov-2016;05-Apr-2018;2;0;0;0;0;0;0
AF;533;2018AF533;KIN;Issued;12-Oct-2016;11-May-2018;1;0;0;0;0;0;0
AF;571;2018AF571;ABJ;Ready;28-Oct-2016;10-Sep-2018;0;0;1;0;0;0;0
AF;689;2018AF689;NRB;Issued;02-Nov-2016;06-Apr-2018;1;0;0;0;0;0;0
AF;760;2018AF760;MRV;Issued;13-Oct-2016;21-Sep-2018;1;0;0;0;0;0;0
AF;788;2018AF788;FTN;Ready;26-Oct-2016;09-Mar-2018;0;0;1;0;0;0;0
AF;849;2018AF849;ALG;Issued;06-Nov-2016;05-Apr-2018;1;0;0;0;0;0;0
AF;942;2018AF942;KIN;Issued;05-Oct-2016;09-Apr-2018;1;0;0;0;0;0;0
AF;984;2018AF984;ACC;Refused;30-Oct-2016;11-Apr-2018;0;0;1;1;0;0;0
AF;1055;2018AF1055;CSB;Issued;15-Oct-2016;08-Aug-2018;4;0;0;0;0;0;0
AF;1122;2018AF1122;ALG;Issued;06-Nov-2016;19-Apr-2018;3;0;0;0;0;0;0
AF;1123;2018AF1123;ACC;Ready;18-Oct-2016;09-Mar-2018;0;0;2;0;0;0;0
AF;1179;2018AF1179;ACC;Refused;19-Oct-2016;09-Apr-2018;0;0;0;1;0;0;0
AF;1186;2018AF1186;ACC;Refused;02-Nov-2016;09-Apr-2018;0;0;0;1;0;0;0
AF;1210;2018AF1210;FTN;Ready;04-Nov-2016;10-Jul-2018;0;0;1;0;0;0;0
AF;1252;2018AF1252;ABJ;Issued;05-Oct-2016;31-May-2018;2;0;0;0;0;0;0
AF;1281;2018AF1281;ACC;Refused;22-Oct-2016;10-Apr-2018;0;0;0;1;0;0;0
AF;1531;2018AF1531;NRB;Issued;12-Oct-2016;11-Apr-2018;2;0;0;0;0;0;0
AF;1601;2018AF1601;FTN;Refused;20-Oct-2016;30-Apr-2018;0;1;0;2;0;0;0
AF;1619;2018AF1619;KHT;Issued;03-Nov-2016;10-Apr-2018;1;0;0;0;0;0;0
AF;1639;2018AF1639;KIN;Administrative Processing;25-Oct-2016;14-Sep-2018;0;2;0;0;0;0;0
AF;1649;2018AF1649;FTN;Ready;19-Oct-2016;17-Apr-2018;0;0;2;0;0;0;0
AF;1665;2018AF1665;MRV;Ready;17-Oct-2016;01-Jun-2018;0;0;4;0;0;0;0
AF;1709;2018AF1709;FTN;Refused;28-Oct-2016;20-Aug-2018;0;1;0;2;0;0;0
AF;1711;2018AF1711;KHT;Ready;07-Nov-2016;20-Sep-2018;0;0;1;0;0;0;0
AF;1751;2018AF1751;ACC;Refused;09-Oct-2016;09-Apr-2018;0;0;0;2;0;0;0
AF;1842;2018AF1842;ADD;Issued;04-Nov-2016;23-Apr-2018;2;0;0;0;0;0;0
AF;1868;2018AF1868;YDE;Refused;10-Oct-2016;24-Apr-2018;0;0;2;1;0;0;0
AF;2054;2018AF2054;KIN;Ready;21-Oct-2016;20-Feb-2018;0;0;4;0;0;0;0
AF;2079;2018AF2079;KIN;Administrative Processing;07-Nov-2016;27-Sep-2018;0;2;0;0;0;0;0
AF;2140;2018AF2140;NRB;Issued;02-Nov-2016;05-Apr-2018;1;0;0;0;0;0;0
AF;2208;2018AF2208;KIN;Issued;06-Nov-2016;27-Sep-2018;1;0;0;0;0;0;0
