region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;10;2018AF10;KIN;Administrative Processing;21-Oct-2016;27-Sep-2018;0;1;1;0;0;0;0
AF;161;2018AF161;KHT;Issued;07-Nov-2016;28-Aug-2018;5;0;0;0;0;0;0
AF;309;2018AF309;CRO;Ready;07-Oct-2016;26-Aug-2018;0;0;1;0;0;0;0
AF;423;2018AF423;MRV;Refused;16-Oct-2016;08-Aug-2018;0;0;0;2;0;0;0
AF;660;2018AF660;ACC;Issued;25-Oct-2016;27-Sep-2018;2;0;0;0;0;0;0
AF;663;2018AF663;FTN;Administrative Processing;10-Oct-2016;13-Sep-2018;0;2;0;0;0;0;0
AF;832;2018AF832;KIN;Issued;23-Oct-2016;12-Sep-2018;1;0;1;0;0;0;0
AF;840;2018AF840;NRB;Issued;09-Oct-2016;02-Aug-2018;1;0;0;0;0;0;0
AF;851;2018AF851;FTN;Issued;16-Oct-2016;10-Aug-2018;1;0;0;0;0;0;0
AF;1155;2018AF1155;FTN;Refused;06-Oct-2016;06-Aug-2018;0;0;0;1;0;0;0
AF;1304;2018AF1304;KIN;Issued;01-Nov-2016;08-Aug-2018;1;0;0;0;0;0;0
AF;1334;2018AF1334;ACC;Issued;27-Oct-2016;05-Sep-2018;1;0;0;0;0;0;0
AF;1478;2018AF1478;ADD;Issued;18-Oct-2016;03-Aug-2018;1;0;0;0;0;0;0
AF;1574;2018AF1574;FTN;Refused;21-Oct-2016;20-Aug-2018;0;0;0;2;0;0;0
AF;1630;2018AF1630;DKR;Refused;27-Oct-2016;02-Aug-2018;0;0;1;1;0;0;0
AF;1813;2018AF1813;KHT;Refused;30-Oct-2016;01-Aug-2018;0;0;0;1;0;0;0
AF;1936;2018AF1936;LOM;Ready;29-Oct-2016;22-Jun-2018;0;0;1;0;0;0;0
AF;1968;2018AF1968;ABJ;Administrative Processing;17-Oct-2016;27-Sep-2018;0;1;1;0;0;0;0
AF;2111;2018AF2111;ABD;Issued;28-Oct-2016;06-Aug-2018;1;0;0;0;0;0;0
AF;2362;2018AF2362;ACC;Issued;05-Oct-2016;27-Sep-2018;2;0;0;0;0;0;0
AF;2400;2018AF2400;KIN;Issued;23-Oct-2016;21-Sep-2018;1;0;1;0;0;0;0
AF;2878;2018AF2878;CRO;Issued;07-Nov-2016;01-Aug-2018;1;0;0;0;0;0;0
AF;2921;2018AF2921;ACC;Refused;30-Oct-2016;07-Aug-2018;0;0;0;1;0;0;0
AF;2932;2018AF2932;ACC;Ready;21-Oct-2016;14-Aug-2018;0;0;2;0;0;0;0
AF;2944;2018AF2944;FTN;Ready;18-Oct-2016;25-Jun-2018;0;0;1;0;0;0;0
AF;3111;2018AF3111;ACC;Issued;24-Oct-2016;14-Sep-2018;3;0;0;0;0;0;0
AF;3190;2018AF3190;KIN;Administrative Processing;06-Nov-2016;14-Sep-2018;0;2;0;0;0;0;0
AF;3256;2018AF3256;KIN;Issued;05-Oct-2016;10-Aug-2018;2;0;0;0;0;0;0
AF;3265;2018AF3265;ABJ;Administrative Processing;12-Oct-2016;28-Sep-2018;0;1;1;0;0;0;0
AF;3346;2018AF3346;OUG;Ready;30-Oct-2016;07-Sep-2018;0;0;1;0;0;0;0
AF;3392;2018AF3392;LOM;Ready;26-Oct-2016;22-Jun-2018;0;0;1;0;0;0;0
AF;3431;2018AF3431;CRO;Issued;24-Oct-2016;07-Aug-2018;1;0;0;0;0;0;0
AF;3513;2018AF3513;ABJ;Issued;12-Oct-2016;28-Sep-2018;1;0;0;0;0;0;0
AF;3698;2018AF3698;KHT;Ready;05-Nov-2016;13-Sep-2018;0;0;1;0;0;0;0
AF;3792;2018AF3792;NMY;Issued;24-Oct-2016;31-Aug-2018;2;0;0;0;0;0;0
AF;3834;2018AF3834;ALG;Issued;18-Oct-2016;07-Aug-2018;1;0;0;0;0;0;0
AF;3875;2018AF3875;ACC;Issued;25-Oct-2016;06-Aug-2018;1;0;0;0;0;0;0
AF;3898;2018AF3898;FTN;Ready;06-Nov-2016;24-Aug-2018;0;0;2;0;0;0;0
AF;3974;2018AF3974;FTN;Refused;06-Nov-2016;06-Aug-2018;0;0;0;1;0;0;0
AF;4018;2018AF4018;FTN;Refused;08-Oct-2016;06-Aug-2018;0;0;0;1;0;0;0
AF;4037;2018AF4037;FTN;Refused;19-Oct-2016;13-Aug-2018;0;0;0;2;0;0;0
AF;4123;2018AF4123;MRV;Issued;27-Oct-2016;08-Aug-2018;2;0;0;0;0;0;0
AF;4127;2018AF4127;KIN;Administrative Processing;06-Nov-2016;25-Sep-2018;0;2;0;0;0;0;0
AF;4145;2018AF4145;KIN;Issued;19-Oct-2016;21-Sep-2018;1;0;1;0;0;0;0
AF;4163;2018AF4163;ADD;Refused;03-Nov-2016;01-Aug-2018;0;0;0;2;0;0;0
AF;4294;2018AF4294;LGS;Refused;25-Oct-2016;12-Sep-2018;0;0;0;1;0;0;0
AF;4364;2018AF4364;CRO;Issued;20-Oct-2016;08-Aug-2018;3;0;0;0;0;0;0
AF;4384;2018AF4384;ALG;Refused;03-Nov-2016;06-Aug-2018;0;0;0;1;0;0;0
AF;4408;2018AF4408;ADD;Ready;05-Nov-2016;10-Aug-2018;0;0;1;0;0;0;0
AF;4525;2018AF4525;FTN;Issued;07-Oct-2016;28-Sep-2018;1;0;0;0;0;0;0
AF;4549;2018AF4549;CRO;Issued;05-Nov-2016;06-Aug-2018;4;0;0;0;0;0;0
AF;4754;2018AF4754;ACC;Refused;06-Oct-2016;07-Aug-2018;0;0;0;1;0;0;0
AF;4870;2018AF4870;KIN;Ready;25-Oct-2016;25-Sep-2018;0;0;1;0;0;0;0
AF;4880;2018AF4880;ACC;Refused;14-Oct-2016;02-Aug-2018;0;0;0;1;0;0;0
AF;4998;2018AF4998;MRV;Refused;23-Oct-2016;10-Aug-2018;0;0;0;2;0;0;0
AF;5083;2018AF5083;FTN;Refused;10-Oct-2016;27-Aug-2018;0;0;0;2;0;0;0
AF;5210;2018AF5210;COT;Administrative Processing;29-Oct-2016;28-Sep-2018;0;2;0;0;0;0;0
AF;5396;2018AF5396;KIN;Refused;30-Oct-2016;09-Aug-2018;0;0;0;3;0;0;0
AF;5500;2018AF5500;KIN;Administrative Processing;02-Nov-2016;28-Sep-2018;0;3;0;0;0;0;0
AF;5595;2018AF5595;COT;Refused;12-Oct-2016;05-Sep-2018;0;1;0;1;0;0;0
