region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;34;2018AF34;ABJ;Issued;06-Nov-2016;30-Jul-2018;2;0;0;0;0;0;0
AF;301;2018AF301;FTN;Ready;30-Oct-2016;23-May-2018;0;0;2;0;0;0;0
AF;318;2018AF318;KIN;Issued;06-Nov-2016;30-Jul-2018;1;0;0;0;0;0;0
AF;408;2018AF408;OUG;Refused;01-Nov-2016;17-Jul-2018;0;0;0;3;0;0;0
AF;502;2018AF502;ALG;Issued;26-Oct-2016;12-Jul-2018;1;0;0;0;0;0;0
AF;528;2018AF528;KIN;Issued;25-Oct-2016;21-Sep-2018;1;0;0;0;0;0;0
AF;646;2018AF646;ACC;Issued;01-Nov-2016;05-Jul-2018;1;0;0;0;0;0;0
AF;764;2018AF764;ADD;Ready;24-Oct-2016;06-Jul-2018;0;0;1;0;0;0;0
AF;868;2018AF868;KHT;Issued;05-Nov-2016;30-Jul-2018;6;0;0;0;0;0;0
AF;1089;2018AF1089;FTN;Refused;22-Oct-2016;09-Jul-2018;0;0;0;2;0;0;0
AF;1377;2018AF1377;MRV;Ready;15-Oct-2016;04-Jun-2018;0;0;2;0;0;0;0
AF;1387;2018AF1387;NRB;Ready;20-Oct-2016;09-Jul-2018;0;0;1;0;0;0;0
AF;1607;2018AF1607;ACC;Issued;26-Oct-2016;10-Aug-2018;2;0;0;0;0;0;0
AF;1779;2018AF1779;ACC;Issued;22-Oct-2016;08-Aug-2018;2;0;0;0;0;0;0
AF;1792;2018AF1792;NRB;Ready;07-Nov-2016;30-May-2018;0;0;1;0;0;0;0
AF;1809;2018AF1809;NRB;Administrative Processing;06-Nov-2016;26-Sep-2018;0;2;0;0;0;0;0
AF;2034;2018AF2034;MRV;Issued;05-Oct-2016;30-Sep-2018;2;0;1;0;0;0;0
AF;2317;2018AF2317;ACC;Issued;16-Oct-2016;05-Jul-2018;1;0;0;0;0;0;0
