region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;150;2018AF150;KIN;Issued;04-Nov-2016;12-Mar-2018;2;0;0;0;0;0;0
AF;156;2018AF156;MRV;Ready;01-Nov-2016;18-Apr-2018;0;0;2;0;0;0;0
AF;218;2018AF218;KIN;Issued;04-Nov-2016;19-Mar-2018;1;0;0;0;0;0;0
AF;441;2018AF441;ADD;Ready;01-Nov-2016;07-May-2018;0;0;1;0;0;0;0
AF;449;2018AF449;LOM;Issued;31-Oct-2016;27-Mar-2018;1;0;0;0;0;0;0
AF;519;2018AF519;MRV;Refused;21-Oct-2016;23-Mar-2018;0;0;0;2;0;0;0
AF;542;2018AF542;ACC;Refused;31-Oct-2016;05-Mar-2018;0;0;1;1;0;0;0
AF;653;2018AF653;MRV;Refused;03-Nov-2016;28-Mar-2018;0;0;1;1;0;0;0
AF;671;2018AF671;MRV;Issued;01-Nov-2016;02-Apr-2018;1;0;0;0;0;0;0
AF;686;2018AF686;MRV;Refused;05-Oct-2016;13-Mar-2018;0;1;0;1;0;0;0
AF;724;2018AF724;CRO;Issued;07-Nov-2016;07-Mar-2018;4;0;0;0;0;0;0
AF;732;2018AF732;ACC;Refused;24-Oct-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;755;2018AF755;ACC;Refused;05-Nov-2016;07-Mar-2018;0;0;0;2;0;0;0
AF;758;2018AF758;ACC;Refused;07-Nov-2016;07-Mar-2018;0;0;1;1;0;0;0
AF;780;2018AF780;KIN;Ready;21-Oct-2016;24-Jan-2018;0;0;2;0;0;0;0
AF;1047;2018AF1047;KIN;Administrative Processing;01-Nov-2016;03-May-2018;0;4;0;0;0;0;0
AF;1073;2018AF1073;KIN;Issued;01-Nov-2016;30-Apr-2018;3;0;0;0;0;0;0
AF;1254;2018AF1254;LOM;Ready;07-Nov-2016;24-Jan-2018;0;0;1;0;0;0;0
AF;1260;2018AF1260;ACC;Issued;06-Oct-2016;19-Mar-2018;1;0;0;0;0;0;0
AF;1499;2018AF1499;DKR;Refused;08-Oct-2016;01-Mar-2018;0;0;0;2;0;0;0
AF;1503;2018AF1503;KIN;Administrative Processing;05-Oct-2016;29-May-2018;0;2;0;0;0;0;0
AF;1591;2018AF1591;MRV;Refused;24-Oct-2016;14-Mar-2018;0;0;0;1;0;0;0
AF;1592;2018AF1592;DKR;Refused;05-Oct-2016;01-Mar-2018;0;0;0;1;0;0;0
AF;1916;2018AF1916;KHT;Issued;15-Oct-2016;08-Mar-2018;1;0;0;0;0;0;0
AF;1924;2018AF1924;MRV;Ready;13-Oct-2016;29-Mar-2018;0;0;2;0;0;0;0
AF;2074;2018AF2074;JHN;Ready;10-Oct-2016;30-May-2018;0;0;1;0;0;0;0
AF;2080;2018AF2080;ACC;Refused;02-Nov-2016;05-Mar-2018;0;0;0;1;0;0;0
AF;2088;2018AF2088;ACC;Administrative Processing;15-Oct-2016;05-Mar-2018;0;1;1;0;0;0;0
AF;2094;2018AF2094;COT;Issued;14-Oct-2016;22-Mar-2018;1;0;0;0;0;0;0
AF;2107;2018AF2107;ALG;Refused;26-Oct-2016;05-Mar-2018;0;0;3;1;0;0;0
AF;2143;2018AF2143;ACC;Administrative Processing;04-Nov-2016;05-Jun-2018;0;3;0;0;0;0;0
AF;2197;2018AF2197;LOM;Refused;20-Oct-2016;19-Mar-2018;0;0;0;1;0;0;0
AF;2199;2018AF2199;NMY;Administrative Processing;12-Oct-2016;15-May-2018;0;1;1;0;0;0;0
AF;2201;2018AF2201;ACC;Ready;05-Oct-2016;24-Jan-2018;0;0;2;0;0;0;0
AF;2212;2018AF2212;YDE;Refused;31-Oct-2016;07-Mar-2018;0;0;2;1;0;0;0
AF;2509;2018AF2509;CRO;Refused;11-Oct-2016;04-Mar-2018;0;0;3;1;0;0;0
AF;2531;2018AF2531;MRV;Ready;11-Oct-2016;29-Mar-2018;0;0;2;0;0;0;0
AF;2585;2018AF2585;KIN;Issued;04-Nov-2016;30-May-2018;3;0;0;0;0;0;0
AF;2685;2018AF2685;KHT;Administrative Processing;23-Oct-2016;13-May-2018;0;1;0;0;0;0;0
AF;2733;2018AF2733;MRV;Refused;05-Nov-2016;01-Mar-2018;0;0;0;2;0;0;0
AF;2876;2018AF2876;MRV;Refused;05-Nov-2016;01-Mar-2018;0;0;0;2;0;0;0
AF;2887;2018AF2887;MRV;Issued;01-Nov-2016;08-Mar-2018;1;0;0;0;0;0;0
AF;2943;2018AF2943;KHT;Issued;07-Nov-2016;06-Mar-2018;2;0;0;0;0;0;0
AF;3005;2018AF3005;DKR;Refused;27-Oct-2016;06-Mar-2018;0;0;0;1;0;0;0
AF;3055;2018AF3055;YDE;Ready;07-Oct-2016;27-Mar-2018;0;0;2;0;0;0;0
AF;3148;2018AF3148;YDE;Issued;21-Oct-2016;20-Apr-2018;1;0;0;0;0;0;0
AF;3172;2018AF3172;KIN;Ready;13-Oct-2016;24-Jan-2018;0;0;3;0;0;0;0
AF;3179;2018AF3179;ACC;Refused;01-Nov-2016;05-Mar-2018;0;0;0;1;0;0;0
AF;3192;2018AF3192;ACC;Refused;30-Oct-2016;05-Mar-2018;0;0;1;1;0;0;0
AF;3239;2018AF3239;KHT;Issued;25-Oct-2016;06-Mar-2018;1;0;0;0;0;0;0
AF;3444;2018AF3444;RID;Issued;05-Nov-2016;19-Mar-2018;6;0;0;0;0;0;0
AF;3551;2018AF3551;KHT;Administrative Processing;27-Oct-2016;09-Mar-2018;0;2;0;0;0;0;0
AF;3558;2018AF3558;NRB;Ready;21-Oct-2016;24-Jan-2018;0;0;1;0;0;0;0
AF;3570;2018AF3570;KIN;Issued;25-Oct-2016;02-Apr-2018;1;0;0;0;0;0;0
AF;3627;2018AF3627;FTN;Refused;27-Oct-2016;20-Mar-2018;0;0;0;3;0;0;0
AF;3649;2018AF3649;ABJ;Issued;31-Oct-2016;30-Apr-2018;1;0;0;0;0;0;0
AF;3689;2018AF3689;MRV;Issued;07-Oct-2016;16-Mar-2018;3;0;0;0;0;0;0
AF;3693;2018AF3693;KIN;Issued;03-Nov-2016;13-Apr-2018;1;0;0;0;0;0;0
AF;3768;2018AF3768;KIN;Issued;10-Oct-2016;10-Apr-2018;1;0;0;0;0;0;0
AF;3865;2018AF3865;KIN;Issued;05-Oct-2016;26-Mar-2018;1;0;0;0;0;0;0
AF;3872;2018AF3872;ACC;Issued;04-Nov-2016;07-Mar-2018;2;0;1;0;0;0;0
AF;3932;2018AF3932;KIN;Administrative Processing;05-Nov-2016;29-May-2018;0;1;1;0;0;0;0
AF;3960;2018AF3960;ACC;Refused;18-Oct-2016;05-Mar-2018;0;0;0;1;0;0;0
AF;3965;2018AF3965;FTN;Refused;31-Oct-2016;26-Mar-2018;0;0;0;1;0;0;0
AF;4220;2018AF4220;FTN;Refused;03-Nov-2016;26-Mar-2018;0;0;0;2;0;0;0
AF;4248;2018AF4248;NPL;Ready;15-Oct-2016;15-May-2018;0;0;4;0;0;0;0
AF;4326;2018AF4326;MRV;Ready;07-Nov-2016;29-Mar-2018;0;0;2;0;0;0;0
AF;4363;2018AF4363;FTN;Refused;05-Oct-2016;29-Mar-2018;0;0;0;2;0;0;0
AF;4371;2018AF4371;CRO;Ready;04-Nov-2016;24-Jan-2018;0;0;5;0;0;0;0
AF;4375;2018AF4375;KHT;Issued;08-Oct-2016;08-Mar-2018;7;0;0;0;0;0;0
AF;4496;2018AF4496;FTN;Refused;24-Oct-2016;12-Mar-2018;0;0;0;2;0;0;0
AF;4520;2018AF4520;ACC;Refused;05-Nov-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;4600;2018AF4600;ABJ;Administrative Processing;01-Nov-2016;10-May-2018;0;1;0;0;0;0;0
AF;4624;2018AF4624;MRV;Ready;03-Nov-2016;29-Mar-2018;0;0;1;0;0;0;0
AF;4647;2018AF4647;KIN;Administrative Processing;17-Oct-2016;17-May-2018;0;2;0;0;0;0;0
AF;4759;2018AF4759;FTN;Refused;24-Oct-2016;26-Mar-2018;0;0;0;1;0;0;0
AF;4781;2018AF4781;ACC;Refused;22-Oct-2016;07-Mar-2018;0;0;1;1;0;0;0
AF;4936;2018AF4936;KIN;Ready;01-Nov-2016;24-Jan-2018;0;0;1;0;0;0;0
AF;4953;2018AF4953;FTN;Ready;12-Oct-2016;15-Mar-2018;0;0;2;0;0;0;0
AF;4978;2018AF4978;KIN;Issued;01-Nov-2016;29-Mar-2018;2;0;0;0;0;0;0
AF;5039;2018AF5039;ACC;Refused;06-Nov-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;5048;2018AF5048;ACC;Refused;08-Oct-2016;05-Mar-2018;0;0;1;1;0;0;0
AF;5076;2018AF5076;ACC;Issued;24-Oct-2016;29-Mar-2018;2;0;0;0;0;0;0
AF;5080;2018AF5080;MRV;Refused;26-Oct-2016;20-Mar-2018;0;0;0;1;0;0;0
AF;5087;2018AF5087;MRV;Refused;23-Oct-2016;22-Mar-2018;0;0;0;3;0;0;0
AF;5134;2018AF5134;FTN;Refused;04-Oct-2016;20-Mar-2018;0;0;0;2;0;0;0
AF;5173;2018AF5173;ACC;Refused;24-Oct-2016;26-Mar-2018;0;0;1;1;0;0;0
AF;5182;2018AF5182;MRV;Issued;02-Nov-2016;30-Mar-2018;1;0;0;0;0;0;0
AF;5243;2018AF5243;KIN;Ready;10-Oct-2016;24-Jan-2018;0;0;2;0;0;0;0
AF;5246;2018AF5246;MRV;Administrative Processing;19-Oct-2016;29-Mar-2018;0;1;4;0;0;0;0
AF;5296;2018AF5296;ACC;Refused;14-Oct-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;5359;2018AF5359;ACC;Refused;13-Oct-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;5453;2018AF5453;ACC;Refused;12-Oct-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;5510;2018AF5510;LOM;Issued;07-Oct-2016;15-Mar-2018;1;0;0;0;0;0;0
AF;5516;2018AF5516;ACC;Issued;10-Oct-2016;19-Mar-2018;2;0;1;0;0;0;0
AF;5553;2018AF5553;OUG;Issued;31-Oct-2016;09-Mar-2018;1;0;0;0;0;0;0
AF;5604;2018AF5604;KIN;Refused;24-Oct-2016;27-Apr-2018;0;0;1;1;0;0;0
AF;5607;2018AF5607;CSB;Issued;05-Nov-2016;16-Apr-2018;1;0;0;0;0;0;0
AF;5725;2018AF5725;MRV;Administrative Processing;25-Oct-2016;30-Mar-2018;0;1;0;0;0;0;0
AF;5739;2018AF5739;KHT;Ready;07-Nov-2016;13-Mar-2018;0;0;1;0;0;0;0
AF;5939;2018AF5939;FTN;Refused;26-Oct-2016;20-Mar-2018;0;0;0;2;0;0;0
AF;5968;2018AF5968;DKR;Ready;04-Nov-2016;02-Mar-2018;0;0;4;0;0;0;0
AF;6028;2018AF6028;KIN;Administrative Processing;24-Oct-2016;17-May-2018;0;1;1;0;0;0;0
AF;6029;2018AF6029;ACC;Refused;06-Nov-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;6086;2018AF6086;ADD;Ready;19-Oct-2016;09-May-2018;0;0;2;0;0;0;0
AF;6149;2018AF6149;KIN;Refused;07-Nov-2016;27-Feb-2018;0;0;0;1;0;0;0
AF;6193;2018AF6193;NRB;Issued;21-Oct-2016;09-Mar-2018;1;0;0;0;0;0;0
AF;6289;2018AF6289;MRV;Issued;28-Oct-2016;26-Mar-2018;2;0;0;0;0;0;0
AF;6383;2018AF6383;ADD;Ready;01-Nov-2016;07-Mar-2018;0;0;2;0;0;0;0
AF;6448;2018AF6448;FTN;Refused;18-Oct-2016;22-Mar-2018;0;1;0;1;0;0;0
AF;6509;2018AF6509;ACC;Refused;25-Oct-2016;05-Mar-2018;0;0;0;1;0;0;0
AF;6568;2018AF6568;KIN;Issued;06-Nov-2016;14-Mar-2018;2;0;0;0;0;0;0
AF;6578;2018AF6578;RID;Issued;06-Oct-2016;26-Mar-2018;3;0;0;0;0;0;0
AF;6603;2018AF6603;KIN;Issued;07-Nov-2016;18-May-2018;1;2;0;0;0;0;0
AF;6609;2018AF6609;DKR;Ready;06-Oct-2016;17-Apr-2018;0;0;2;0;0;0;0
AF;6682;2018AF6682;NRB;Issued;05-Oct-2016;20-Mar-2018;1;0;0;0;0;0;0
AF;6741;2018AF6741;ALG;Issued;16-Oct-2016;28-Mar-2018;1;0;0;0;0;0;0
AF;6750;2018AF6750;NRB;Issued;19-Oct-2016;28-Mar-2018;1;0;0;0;0;0;0
AF;6782;2018AF6782;CRO;Issued;04-Nov-2016;15-Mar-2018;1;0;0;0;0;0;0
AF;6821;2018AF6821;ACC;Refused;14-Oct-2016;07-Mar-2018;0;0;0;1;0;0;0
AF;6827;2018AF6827;KIN;Ready;20-Oct-2016;24-Jan-2018;0;0;3;0;0;0;0
AF;6880;2018AF6880;ALG;Refused;29-Oct-2016;13-Mar-2018;0;0;0;1;0;0;0
AF;6947;2018AF6947;FTN;Refused;27-Oct-2016;20-Mar-2018;0;0;0;2;0;0;0
AF;6959;2018AF6959;YDE;Issued;22-Oct-2016;02-Apr-2018;1;0;0;0;0;0;0
AF;6976;2018AF6976;MRV;Ready;13-Oct-2016;23-Apr-2018;0;0;3;0;0;0;0
AF;7058;2018AF7058;KIN;Refused;01-Nov-2016;31-May-2018;0;0;1;1;0;0;0
AF;7074;2018AF7074;YDE;Refused;05-Nov-2016;06-Mar-2018;0;0;0;1;0;0;0
