region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;89;2018AF89;DKR;Issued;31-Oct-2016;06-Sep-2018;1;0;0;0;0;0;0
AF;93;2018AF93;ACC;Issued;17-Oct-2016;28-Sep-2018;1;0;0;0;0;0;0
AF;173;2018AF173;MRV;Refused;30-Oct-2016;18-Sep-2018;0;0;1;1;0;0;0
AF;219;2018AF219;NRB;Administrative Processing;06-Nov-2016;18-Sep-2018;0;2;0;0;0;0;0
AF;278;2018AF278;KIN;Refused;04-Nov-2016;21-Sep-2018;0;2;0;1;0;0;0
AF;287;2018AF287;ACC;Issued;14-Oct-2016;17-Sep-2018;1;0;0;0;0;0;0
AF;295;2018AF295;ABJ;Administrative Processing;26-Oct-2016;24-Sep-2018;0;1;1;0;0;0;0
AF;308;2018AF308;KIN;Refused;30-Oct-2016;11-Sep-2018;0;0;0;1;0;0;0
AF;585;2018AF585;ACC;Issued;01-Nov-2016;07-Sep-2018;1;0;0;0;0;0;0
AF;589;2018AF589;MRV;Refused;08-Oct-2016;07-Sep-2018;0;0;0;2;0;0;0
AF;680;2018AF680;NRB;Issued;28-Oct-2016;05-Sep-2018;1;0;0;0;0;0;0
AF;682;2018AF682;KIN;Administrative Processing;07-Nov-2016;13-Sep-2018;0;2;1;0;0;0;0
AF;705;2018AF705;KIN;Refused;03-Nov-2016;04-Sep-2018;0;0;0;1;0;0;0
AF;723;2018AF723;ACC;Refused;28-Oct-2016;04-Sep-2018;0;0;0;1;0;0;0
AF;737;2018AF737;ACC;Administrative Processing;21-Oct-2016;17-Sep-2018;0;1;0;0;0;0;0
AF;752;2018AF752;COT;Issued;16-Oct-2016;07-Sep-2018;1;0;0;0;0;0;0
AF;850;2018AF850;ACC;Refused;15-Oct-2016;28-Sep-2018;0;0;1;1;0;0;0
AF;882;2018AF882;ACC;Refused;11-Oct-2016;11-Sep-2018;0;0;1;1;0;0;0
AF;918;2018AF918;ACC;Issued;01-Nov-2016;25-Sep-2018;1;0;0;0;0;0;0
AF;926;2018AF926;ACC;Issued;27-Oct-2016;07-Sep-2018;1;0;0;0;0;0;0
AF;944;2018AF944;CRO;Issued;28-Oct-2016;05-Sep-2018;1;0;0;0;0;0;0
AF;1011;2018AF1011;ACC;Ready;11-Oct-2016;20-Jul-2018;0;0;2;0;0;0;0
AF;1049;2018AF1049;KIN;Administrative Processing;06-Oct-2016;27-Sep-2018;0;1;0;0;0;0;0
AF;1136;2018AF1136;ACC;Issued;31-Oct-2016;20-Sep-2018;1;0;0;0;0;0;0
AF;1167;2018AF1167;ACC;Ready;01-Nov-2016;20-Jul-2018;0;0;2;0;0;0;0
AF;1216;2018AF1216;KIN;Administrative Processing;11-Oct-2016;26-Sep-2018;0;3;0;0;0;0;0
AF;1234;2018AF1234;ACC;Refused;18-Oct-2016;07-Sep-2018;0;0;3;1;0;0;0
AF;1257;2018AF1257;ACC;Refused;26-Oct-2016;13-Sep-2018;0;0;0;1;0;0;0
AF;1324;2018AF1324;KIN;Administrative Processing;05-Nov-2016;20-Sep-2018;0;1;2;0;0;0;0
AF;1339;2018AF1339;KIN;Issued;02-Nov-2016;26-Sep-2018;1;0;0;0;0;0;0
AF;1364;2018AF1364;MRV;Issued;20-Oct-2016;11-Sep-2018;2;0;0;0;0;0;0
AF;1439;2018AF1439;ACC;Refused;01-Nov-2016;14-Sep-2018;0;0;0;1;0;0;0
AF;1445;2018AF1445;ADD;Issued;20-Oct-2016;07-Sep-2018;1;0;0;0;0;0;0
AF;1479;2018AF1479;OUG;Issued;31-Oct-2016;27-Sep-2018;3;0;0;0;0;0;0
AF;1482;2018AF1482;ACC;Refused;15-Oct-2016;18-Sep-2018;0;0;1;1;0;0;0
AF;1512;2018AF1512;DKR;Refused;07-Nov-2016;04-Sep-2018;0;0;0;1;0;0;0
AF;1525;2018AF1525;ACC;Ready;05-Oct-2016;20-Jul-2018;0;0;1;0;0;0;0
AF;1635;2018AF1635;KIN;Issued;28-Oct-2016;26-Sep-2018;1;0;0;0;0;0;0
AF;1695;2018AF1695;ACC;Ready;28-Oct-2016;20-Jul-2018;0;0;2;0;0;0;0
AF;1729;2018AF1729;KIN;Issued;05-Nov-2016;17-Sep-2018;4;0;0;0;0;0;0
AF;1740;2018AF1740;YDE;Issued;24-Oct-2016;06-Sep-2018;1;0;0;0;0;0;0
AF;1748;2018AF1748;LOM;Ready;31-Oct-2016;27-Sep-2018;0;0;1;0;0;0;0
AF;1765;2018AF1765;ACC;Refused;10-Oct-2016;23-Sep-2018;0;0;1;1;0;0;0
AF;1790;2018AF1790;MRV;Refused;31-Oct-2016;11-Sep-2018;0;0;0;2;0;0;0
AF;1856;2018AF1856;MRV;Ready;03-Nov-2016;27-Aug-2018;0;0;1;0;0;0;0
AF;1884;2018AF1884;KIN;Issued;03-Nov-2016;27-Sep-2018;5;0;0;0;0;0;0
AF;1885;2018AF1885;FTN;Refused;30-Oct-2016;10-Sep-2018;0;0;0;1;0;0;0
AF;1911;2018AF1911;ABJ;Issued;27-Oct-2016;25-Sep-2018;2;0;0;0;0;0;0
AF;1925;2018AF1925;KIN;Issued;12-Oct-2016;20-Sep-2018;6;0;0;0;0;0;0
AF;1928;2018AF1928;YDE;Issued;22-Oct-2016;06-Sep-2018;1;0;0;0;0;0;0
AF;1932;2018AF1932;LOM;Ready;03-Nov-2016;18-Sep-2018;0;0;1;0;0;0;0
AF;1992;2018AF1992;ACC;Ready;12-Oct-2016;20-Jul-2018;0;0;1;0;0;0;0
AF;2090;2018AF2090;ACC;Ready;31-Oct-2016;20-Jul-2018;0;0;1;0;0;0;0
AF;2110;2018AF2110;ACC;Issued;17-Oct-2016;27-Sep-2018;3;0;0;0;0;0;0
AF;2135;2018AF2135;KIN;Administrative Processing;06-Oct-2016;25-Sep-2018;0;2;0;0;0;0;0
AF;2157;2018AF2157;KIN;Issued;02-Nov-2016;26-Sep-2018;2;0;0;0;0;0;0
AF;2222;2018AF2222;ACC;Refused;25-Oct-2016;13-Sep-2018;0;0;0;1;0;0;0
AF;2276;2018AF2276;MRV;Refused;07-Oct-2016;17-Sep-2018;0;0;1;1;0;0;0
AF;2286;2018AF2286;ACC;Issued;19-Oct-2016;14-Sep-2018;1;0;0;0;0;0;0
AF;2371;2018AF2371;CSB;Administrative Processing;16-Oct-2016;11-Sep-2018;0;1;0;0;0;0;0
AF;2444;2018AF2444;MRV;Refused;17-Oct-2016;06-Sep-2018;0;0;1;1;0;0;0
AF;2468;2018AF2468;ACC;Ready;25-Oct-2016;20-Jul-2018;0;0;2;0;0;0;0
AF;2502;2018AF2502;ACC;Refused;22-Oct-2016;04-Sep-2018;0;0;0;1;0;0;0
AF;2645;2018AF2645;KIN;Issued;07-Nov-2016;19-Sep-2018;2;0;0;0;0;0;0
AF;2675;2018AF2675;DKR;Issued;01-Nov-2016;13-Sep-2018;1;0;0;0;0;0;0
AF;2758;2018AF2758;DKR;Issued;07-Nov-2016;10-Sep-2018;1;0;0;0;0;0;0
AF;2759;2018AF2759;FTN;Ready;26-Oct-2016;23-Jul-2018;0;0;2;0;0;0;0
AF;2791;2018AF2791;CRO;Issued;15-Oct-2016;09-Sep-2018;1;0;2;0;0;0;0
AF;2829;2018AF2829;ACC;Refused;06-Oct-2016;04-Sep-2018;0;0;0;1;0;0;0
AF;2837;2018AF2837;ACC;Refused;18-Oct-2016;04-Sep-2018;0;0;0;1;0;0;0
AF;2929;2018AF2929;ACC;Issued;12-Oct-2016;27-Sep-2018;1;0;1;0;0;0;0
AF;2941;2018AF2941;COT;Issued;06-Nov-2016;20-Sep-2018;1;0;0;0;0;0;0
AF;3083;2018AF3083;ACC;Refused;01-Nov-2016;07-Sep-2018;0;0;0;1;0;0;0
AF;3128;2018AF3128;CRO;Issued;04-Oct-2016;05-Sep-2018;1;0;0;0;0;0;0
AF;3155;2018AF3155;COT;Ready;05-Nov-2016;28-Sep-2018;0;0;1;0;0;0;0
AF;3180;2018AF3180;DRS;Issued;13-Oct-2016;13-Sep-2018;1;0;4;0;0;0;0
AF;3215;2018AF3215;MRV;Issued;11-Oct-2016;05-Sep-2018;1;0;0;0;0;0;0
AF;3244;2018AF3244;ACC;Refused;25-Oct-2016;24-Sep-2018;0;0;2;1;0;0;0
AF;3273;2018AF3273;ACC;Refused;07-Nov-2016;11-Sep-2018;0;0;0;1;0;0;0
AF;3294;2018AF3294;FTN;Ready;17-Oct-2016;26-Sep-2018;0;0;1;0;0;0;0
AF;3328;2018AF3328;FTN;Ready;05-Oct-2016;23-Jul-2018;0;0;1;0;0;0;0
AF;3354;2018AF3354;ACC;Refused;08-Oct-2016;11-Sep-2018;0;0;1;1;0;0;0
AF;3385;2018AF3385;ACC;Refused;19-Oct-2016;17-Sep-2018;0;0;0;2;0;0;0
AF;3456;2018AF3456;FTN;Refused;14-Oct-2016;10-Sep-2018;0;0;1;1;0;0;0
