region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;94;2019AF94;ACC;Issued;15-Nov-2017;18-Jun-2019;2;0;0;0;0;0;0
AF;118;2019AF118;ACC;Issued;08-Nov-2017;11-Jul-2019;1;0;1;0;0;0;0
AF;132;2019AF132;ACC;Refused;08-Nov-2017;18-Jun-2019;0;0;0;2;0;0;0
AF;154;2019AF154;CSB;Issued;09-Nov-2017;05-Jul-2019;6;0;0;0;0;0;0
AF;336;2019AF336;ACC;Refused;27-Oct-2017;04-Jun-2019;0;0;0;1;0;0;0
AF;374;2019AF374;NRB;Administrative Processing;05-Nov-2017;14-Aug-2019;0;1;0;0;0;0;0
AF;425;2019AF425;RID;Issued;21-Oct-2017;16-Jun-2019;4;0;0;0;0;0;0
AF;477;2019AF477;LOM;Issued;30-Oct-2017;20-Jun-2019;1;0;0;0;0;0;0
AF;514;2019AF514;ACC;Issued;21-Nov-2017;22-Aug-2019;1;0;0;0;0;0;0
AF;540;2019AF540;CRO;Issued;17-Nov-2017;12-Jun-2019;4;0;0;0;0;0;0
AF;542;2019AF542;KHT;Issued;25-Oct-2017;25-Jun-2019;2;0;0;0;0;0;0
AF;679;2019AF679;FTN;Refused;03-Nov-2017;06-Jun-2019;0;0;0;2;0;0;0
AF;703;2019AF703;ACC;Refused;04-Nov-2017;04-Jun-2019;0;0;0;1;0;0;0
AF;757;2019AF757;ACC;Issued;20-Oct-2017;06-Jun-2019;1;0;0;0;0;0;0
AF;777;2019AF777;ACC;Issued;01-Nov-2017;11-Jun-2019;1;0;0;0;0;0;0
AF;838;2019AF838;ACC;Issued;21-Nov-2017;18-Jun-2019;4;0;0;0;0;0;0
AF;915;2019AF915;ACC;Issued;17-Nov-2017;11-Jun-2019;1;0;0;0;0;0;0
AF;997;2019AF997;ABJ;Administrative Processing;10-Nov-2017;03-Sep-2019;0;1;1;0;0;0;0
AF;1049;2019AF1049;KIN;Issued;02-Nov-2017;17-Jun-2019;2;0;0;0;0;0;0
