region;caseNumber;caseNumberFull;consulate;status;submitDate;statusDate;Issued;AP;Ready;Refused;InTransit;Transfer;NVC
AF;44;2019AF44;ADD;Administrative Processing;09-Nov-2017;02-May-2019;0;2;0;0;0;0;0
AF;98;2019AF98;KIN;Refused;04-Nov-2017;21-Aug-2019;0;0;0;4;0;0;0
AF;166;2019AF166;CRO;Issued;21-Oct-2017;01-Aug-2019;1;0;0;0;0;0;0
AF;302;2019AF302;ALG;Refused;28-Oct-2017;06-May-2019;0;0;3;1;0;0;0
AF;459;2019AF459;ACC;Issued;26-Oct-2017;17-May-2019;2;0;0;0;0;0;0
AF;496;2019AF496;MRV;Administrative Processing;20-Nov-2017;28-Aug-2019;0;1;1;0;0;0;0
AF;553;2019AF553;KIN;Issued;20-Oct-2017;22-May-2019;3;0;0;0;0;0;0
AF;562;2019AF562;KIN;Refused;11-Nov-2017;07-May-2019;0;0;0;2;0;0;0
AF;684;2019AF684;KIN;Administrative Processing;21-Oct-2017;28-Aug-2019;0;4;0;0;0;0;0
AF;739;2019AF739;MRV;Issued;21-Nov-2017;24-Jun-2019;5;0;0;0;0;0;0
AF;953;2019AF953;KHT;Issued;30-Oct-2017;06-May-2019;1;0;0;0;0;0;0
AF;1138;2019AF1138;ACC;Issued;15-Nov-2017;07-May-2019;1;0;0;0;0;0;0
AF;1179;2019AF1179;ACC;Issued;30-Oct-2017;28-May-2019;1;0;0;0;0;0;0
AF;1187;2019AF1187;KHT;Issued;23-Oct-2017;06-May-2019;3;0;0;0;0;0;0
AF;1277;2019AF1277;YDE;Issued;18-Oct-2017;08-May-2019;1;0;0;0;0;0;0
AF;1462;2019AF1462;NRB;Issued;14-Nov-2017;08-May-2019;1;0;0;0;0;0;0
AF;1615;2019AF1615;KIN;Issued;09-Nov-2017;21-Jun-2019;2;0;0;0;0;0;0
AF;1620;2019AF1620;CRO;Issued;22-Nov-2017;06-May-2019;1;0;0;0;0;0;0
AF;1720;2019AF1720;NRB;Issued;19-Oct-2017;29-Jul-2019;4;0;2;0;0;0;0
AF;1750;2019AF1750;KIN;Ready;05-Nov-2017;06-Apr-2019;0;0;2;0;0;0;0
AF;1861;2019AF1861;KHT;Issued;23-Oct-2017;29-Jul-2019;6;0;0;0;0;0;0
AF;2014;2019AF2014;MRV;Issued;21-Oct-2017;17-May-2019;2;0;0;0;0;0;0
AF;2232;2019AF2232;FTN;Refused;31-Oct-2017;25-Jun-2019;0;0;0;2;0;0;0
AF;2252;2019AF2252;LOM;Issued;20-Oct-2017;16-May-2019;1;0;0;0;0;0;0
AF;2372;2019AF2372;FTN;Issued;14-Nov-2017;22-May-2019;2;0;0;0;0;0;0
AF;2450;2019AF2450;ACC;Refused;01-Nov-2017;09-May-2019;0;0;0;2;0;0;0
AF;2460;2019AF2460;KIN;Administrative Processing;24-Oct-2017;28-Aug-2019;0;3;0;0;0;0;0
AF;2469;2019AF2469;LOM;Issued;31-Oct-2017;06-May-2019;1;0;0;0;0;0;0
AF;2476;2019AF2476;KIN;Issued;02-Nov-2017;19-Jul-2019;1;0;0;0;0;0;0
AF;2480;2019AF2480;ACC;Issued;21-Nov-2017;30-May-2019;1;0;0;0;0;0;0
AF;2871;2019AF2871;DKR;Refused;09-Nov-2017;16-May-2019;0;1;0;1;0;0;0
AF;2972;2019AF2972;DKR;Issued;30-Oct-2017;13-May-2019;1;0;0;0;0;0;0
AF;3081;2019AF3081;CRO;Issued;22-Oct-2017;13-May-2019;1;0;0;0;0;0;0
AF;3084;2019AF3084;HRE;Refused;13-Nov-2017;17-May-2019;0;0;1;1;0;0;0
AF;3132;2019AF3132;KIN;Administrative Processing;05-Nov-2017;28-Aug-2019;0;1;5;0;0;0;0
AF;3212;2019AF3212;LOM;Issued;05-Nov-2017;06-May-2019;1;0;0;0;0;0;0
AF;3342;2019AF3342;FTN;Refused;05-Nov-2017;02-May-2019;0;0;0;2;0;0;0
AF;3355;2019AF3355;ADD;Ready;21-Nov-2017;14-May-2019;0;0;1;0;0;0;0
AF;3398;2019AF3398;FTN;Refused;17-Nov-2017;01-Aug-2019;0;0;0;1;0;0;0
AF;3426;2019AF3426;ACC;Issued;26-Oct-2017;07-May-2019;1;0;0;0;0;0;0
AF;3435;2019AF3435;ADD;Refused;12-Nov-2017;06-May-2019;0;1;0;1;0;0;0
AF;3488;2019AF3488;KIN;Issued;30-Oct-2017;15-May-2019;2;0;0;0;0;0;0
AF;3506;2019AF3506;ACC;Issued;25-Oct-2017;10-May-2019;1;0;0;0;0;0;0
