region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,InTransit,Transfer,NVC,potentialAP
AF,1,2013AF1,None,None,None,None,0,0,0,0,0,0,0,0
AF,2,2013AF2,LGS,Refused,10-Oct-2011,04-Sep-2013,0,0,0,1,0,0,0,0
AF,3,2013AF3,None,None,None,None,0,0,0,0,0,0,0,0
AF,4,2013AF4,LGS,Issued,21-Oct-2011,05-Mar-2013,2,0,0,0,0,0,0,0
AF,5,2013AF5,None,None,None,None,0,0,0,0,0,0,0,0
AF,6,2013AF6,ACC,Issued,15-Oct-2011,17-May-2013,3,0,0,0,0,0,0,0
AF,7,2013AF7,LGS,Issued,05-Oct-2011,05-Sep-2013,2,0,0,0,0,0,0,0
AF,8,2013AF8,LGS,Issued,18-Oct-2011,14-Aug-2013,1,0,0,0,0,0,0,0
AF,9,2013AF9,FTN,Refused,28-Oct-2011,15-Sep-2013,0,0,0,2,0,0,0,0
AF,10,2013AF10,None,None,None,None,0,0,0,0,0,0,0,0
AF,11,2013AF11,None,None,None,None,0,0,0,0,0,0,0,0
AF,12,2013AF12,None,None,None,None,0,0,0,0,0,0,0,0
AF,13,2013AF13,LGS,Refused,01-Nov-2011,06-Sep-2013,0,0,1,2,0,0,0,0
AF,14,2013AF14,ACC,Issued,12-Oct-2011,26-Sep-2013,3,0,0,0,0,0,0,0
AF,15,2013AF15,LGS,Refused,07-Oct-2011,05-Aug-2013,0,0,0,2,0,0,0,0
AF,16,2013AF16,None,None,None,None,0,0,0,0,0,0,0,0
AF,17,2013AF17,CSB,Issued,05-Oct-2011,10-Sep-2013,1,0,0,0,0,0,0,0
AF,18,2013AF18,COT,Issued,04-Nov-2011,27-Sep-2013,2,0,0,0,0,0,0,0
AF,19,2013AF19,ACC,Refused,30-Oct-2011,06-Sep-2013,0,0,1,1,0,0,0,0
AF,20,2013AF20,None,None,None,None,0,0,0,0,0,0,0,0
AF,21,2013AF21,None,None,None,None,0,0,0,0,0,0,0,0
AF,22,2013AF22,LGS,Issued,29-Oct-2011,03-Apr-2013,2,0,0,0,0,0,0,0
AF,23,2013AF23,ADD,Issued,02-Nov-2011,05-Mar-2013,4,0,0,0,0,0,0,0
AF,24,2013AF24,None,None,None,None,0,0,0,0,0,0,0,0
AF,25,2013AF25,LGS,Issued,31-Oct-2011,04-Jun-2013,1,0,0,0,0,0,0,0
AF,26,2013AF26,None,None,None,None,0,0,0,0,0,0,0,0
AF,27,2013AF27,CRO,Refused,05-Nov-2011,30-Sep-2013,0,0,0,1,0,0,0,0
AF,28,2013AF28,LGS,Ready,27-Oct-2011,27-Sep-2013,0,0,1,0,0,0,0,0
AF,29,2013AF29,None,None,None,None,0,0,0,0,0,0,0,0
AF,30,2013AF30,None,None,None,None,0,0,0,0,0,0,0,0
AF,31,2013AF31,KIN,Issued,09-Oct-2011,28-Aug-2013,1,0,0,0,0,0,0,0
AF,32,2013AF32,None,None,None,None,0,0,0,0,0,0,0,0
AF,33,2013AF33,CRO,Issued,02-Nov-2011,31-Jan-2013,6,0,0,0,0,0,0,0
AF,34,2013AF34,None,None,None,None,0,0,0,0,0,0,0,0
AF,35,2013AF35,LGS,Issued,03-Nov-2011,07-Jan-2013,6,0,0,0,0,0,0,0
AF,36,2013AF36,None,None,None,None,0,0,0,0,0,0,0,0
AF,37,2013AF37,LGS,Refused,12-Oct-2011,17-Apr-2013,0,0,0,4,0,0,0,0
AF,38,2013AF38,NRB,Refused,21-Oct-2011,17-Sep-2013,0,0,2,1,0,0,0,0
AF,39,2013AF39,None,None,None,None,0,0,0,0,0,0,0,0
AF,40,2013AF40,FTN,Issued,09-Oct-2011,10-Jul-2013,2,0,0,0,0,0,0,0
AF,41,2013AF41,None,None,None,None,0,0,0,0,0,0,0,0
AF,42,2013AF42,NRB,Refused,31-Oct-2011,17-Sep-2013,0,0,2,1,0,0,0,0
AF,43,2013AF43,None,None,None,None,0,0,0,0,0,0,0,0
AF,44,2013AF44,None,None,None,None,0,0,0,0,0,0,0,0
AF,45,2013AF45,LGS,Issued,30-Oct-2011,04-Feb-2013,1,0,0,0,0,0,0,0
AF,46,2013AF46,None,None,None,None,0,0,0,0,0,0,0,0
AF,47,2013AF47,None,None,None,None,0,0,0,0,0,0,0,0
AF,48,2013AF48,KIN,Issued,13-Oct-2011,03-Apr-2013,1,0,0,0,0,0,0,0
AF,49,2013AF49,None,None,None,None,0,0,0,0,0,0,0,0
AF,50,2013AF50,None,None,None,None,0,0,0,0,0,0,0,0
AF,51,2013AF51,None,None,None,None,0,0,0,0,0,0,0,0
AF,52,2013AF52,FTN,Refused,12-Oct-2011,28-Sep-2013,0,0,0,3,0,0,0,0
AF,53,2013AF53,None,None,None,None,0,0,0,0,0,0,0,0
AF,54,2013AF54,None,None,None,None,0,0,0,0,0,0,0,0
AF,55,2013AF55,None,None,None,None,0,0,0,0,0,0,0,0
AF,56,2013AF56,ACC,Refused,05-Nov-2011,23-May-2013,0,0,0,2,0,0,0,0
AF,57,2013AF57,None,None,None,None,0,0,0,0,0,0,0,0
AF,58,2013AF58,LOM,Issued,01-Nov-2011,15-Feb-2013,1,0,0,0,0,0,0,0
AF,59,2013AF59,None,None,None,None,0,0,0,0,0,0,0,0
AF,60,2013AF60,None,None,None,None,0,0,0,0,0,0,0,0
AF,61,2013AF61,None,None,None,None,0,0,0,0,0,0,0,0
AF,62,2013AF62,None,None,None,None,0,0,0,0,0,0,0,0
AF,63,2013AF63,KIN,Issued,31-Oct-2011,25-Apr-2013,3,0,0,0,0,0,0,0
AF,64,2013AF64,None,None,None,None,0,0,0,0,0,0,0,0
AF,65,2013AF65,LGS,Issued,03-Nov-2011,05-Mar-2013,5,0,0,0,0,0,0,0
AF,66,2013AF66,None,None,None,None,0,0,0,0,0,0,0,0
AF,67,2013AF67,DKR,Refused,19-Oct-2011,30-Jan-2013,0,0,0,1,0,0,0,0
AF,68,2013AF68,LGS,Issued,27-Oct-2011,15-Apr-2013,2,0,0,0,0,0,0,0
